genome,taxid,species
ERR1555162,485,Neisseria gonorrhoeae
ERR1555168,485,Neisseria gonorrhoeae
ERR1555172,485,Neisseria gonorrhoeae
ERR1555178,485,Neisseria gonorrhoeae
ERR1555192,485,Neisseria gonorrhoeae
ERR1555195,485,Neisseria gonorrhoeae
ERR1555200,485,Neisseria gonorrhoeae
ERR1555206,485,Neisseria gonorrhoeae
ERR1555209,485,Neisseria gonorrhoeae
ERR1555212,485,Neisseria gonorrhoeae
ERR1555216,485,Neisseria gonorrhoeae
ERR1555229,485,Neisseria gonorrhoeae
ERR1555244,485,Neisseria gonorrhoeae
ERR1560780,485,Neisseria gonorrhoeae
ERR1560782,485,Neisseria gonorrhoeae
ERR1560784,485,Neisseria gonorrhoeae
ERR1560785,485,Neisseria gonorrhoeae
ERR1560805,485,Neisseria gonorrhoeae
ERR1560809,485,Neisseria gonorrhoeae
ERR1560817,485,Neisseria gonorrhoeae
ERR1560823,485,Neisseria gonorrhoeae
ERR1560839,485,Neisseria gonorrhoeae
ERR1560841,485,Neisseria gonorrhoeae
ERR1560852,485,Neisseria gonorrhoeae
ERR1560870,485,Neisseria gonorrhoeae
ERR1560875,485,Neisseria gonorrhoeae
ERR1560878,485,Neisseria gonorrhoeae
ERR1560900,485,Neisseria gonorrhoeae
ERR1560909,485,Neisseria gonorrhoeae
ERR1560924,485,Neisseria gonorrhoeae
ERR1560935,485,Neisseria gonorrhoeae
ERR1560936,485,Neisseria gonorrhoeae
ERR1560942,485,Neisseria gonorrhoeae
ERR1560944,485,Neisseria gonorrhoeae
ERR1560945,485,Neisseria gonorrhoeae
ERR1602751,485,Neisseria gonorrhoeae
ERR1602753,485,Neisseria gonorrhoeae
ERR1602758,485,Neisseria gonorrhoeae
ERR1602776,485,Neisseria gonorrhoeae
ERR1602782,485,Neisseria gonorrhoeae
ERR1602784,485,Neisseria gonorrhoeae
ERR1680307,485,Neisseria gonorrhoeae
ERR1837102,485,Neisseria gonorrhoeae
ERR1837110,485,Neisseria gonorrhoeae
ERR1837118,485,Neisseria gonorrhoeae
ERR1837130,485,Neisseria gonorrhoeae
ERR191732,485,Neisseria gonorrhoeae
ERR191760,485,Neisseria gonorrhoeae
ERR191761,485,Neisseria gonorrhoeae
ERR191779,485,Neisseria gonorrhoeae
ERR191786,485,Neisseria gonorrhoeae
ERR191805,485,Neisseria gonorrhoeae
ERR191810,485,Neisseria gonorrhoeae
ERR191816,485,Neisseria gonorrhoeae
ERR191824,485,Neisseria gonorrhoeae
ERR2133896,485,Neisseria gonorrhoeae
ERR2133899,485,Neisseria gonorrhoeae
ERR2133906,485,Neisseria gonorrhoeae
ERR2133908,485,Neisseria gonorrhoeae
ERR2133910,485,Neisseria gonorrhoeae
ERR2133911,485,Neisseria gonorrhoeae
ERR2133917,485,Neisseria gonorrhoeae
ERR2133920,485,Neisseria gonorrhoeae
ERR2133922,485,Neisseria gonorrhoeae
ERR2133931,485,Neisseria gonorrhoeae
ERR2133950,485,Neisseria gonorrhoeae
ERR2133960,485,Neisseria gonorrhoeae
ERR2133963,485,Neisseria gonorrhoeae
ERR2133972,485,Neisseria gonorrhoeae
ERR2133981,485,Neisseria gonorrhoeae
ERR2133985,485,Neisseria gonorrhoeae
ERR2172310,485,Neisseria gonorrhoeae
ERR2172316,485,Neisseria gonorrhoeae
ERR2172319,485,Neisseria gonorrhoeae
ERR2172327,485,Neisseria gonorrhoeae
ERR2172348,485,Neisseria gonorrhoeae
ERR2172353,485,Neisseria gonorrhoeae
ERR2172354,485,Neisseria gonorrhoeae
ERR222908,485,Neisseria gonorrhoeae
ERR222909,485,Neisseria gonorrhoeae
